PCA Reduction - Just Tokenized Dataset
Vectorizing from all features: (72134, 206485)
Vectorizing from only selected features: (72134, 3907)
____________________________________________________________________________________________
init		time	inertia	acc	homo	compl	ARI	AMI	silhouette	EVR
all-2    	0.048s	2166	0.662	0.088	0.092	0.105	0.090	0.560		2.8%
subset-2 	0.017s	3561	0.707	0.127	0.127	0.171	0.127	0.592		2.5%
all-10   	0.031s	16100	0.682	0.109	0.114	0.132	0.112	0.179		6.4%
subset-10	0.028s	27396	0.233	0.217	0.218	0.284	0.218	0.154		8.6%
all-100  	0.194s	37049	0.549	0.008	0.009	0.010	0.008	0.084		17.4%
subset-100	0.141s	51716	0.737	0.169	0.169	0.225	0.169	0.046		26.2%
all-500  	0.737s	49042	0.515	0.000	0.000	0.001	0.000	0.068		32.7%
subset-500	0.805s	60638	0.658	0.076	0.076	0.100	0.076	0.017		50.9%
all-1000 	1.728s	53194	0.498	0.000	0.000	-0.000	0.000	0.042		42.3%
subset-1000	1.936s	63073	0.367	0.054	0.055	0.071	0.054	0.014		66.6%
